"id","address_country","address_locality","address_region","postal_code","street_address","formatted_address","latitude","longitude","zoom","parish_id","name"
804,"fr","ISTRES",,"13800","33 bvd Victor Hugo",,43.5123586,4.9897573000001,15,418,"Donnée importée de MesseInfo."
805,"FR","Istres",,"13800","33 Boulevard Victor Hugo","33, Boulevard Victor Hugo, 13800 Istres, France",43.5123462,4.989764,,418,"Donnée de MesseInfo traitée par Google Maps."
806,"fr","Peyrolles",,"13860","17 rue de l'église",,43.6477978,5.5826858,15,419,"Donnée importée de MesseInfo."
807,"FR","Peyrolles-en-Provence",,"13860","17 Rue de l'Église","17, Rue de l'Église, 13860 Peyrolles-en-Provence, France",43.6477983,5.5827043,,419,"Donnée de MesseInfo traitée par Google Maps."
808,"fr","MAUSSANE LES ALPILLES",,"13520","29 place Laugier de Monblan",,43.721315,4.8051353,15,420,"Donnée importée de MesseInfo."
809,"FR","Maussane-les-Alpilles",,"13520","29 Place Joseph Laugier de Monblan","29, Place Joseph Laugier de Monblan, 13520 Maussane-les-Alpilles, France",43.7215168,4.8052826,,420,"Donnée de MesseInfo traitée par Google Maps."
810,"fr","TRETS",,"13530","1 avenue pasteur",,43.4462648,5.6866752,15,421,"Donnée importée de MesseInfo."
811,"FR","Trets",,"13530","1 Avenue Pasteur","1, Avenue Pasteur, 13530 Trets, France",43.4462581,5.6866593,,421,"Donnée de MesseInfo traitée par Google Maps."
812,"fr","LAMANON",,"13113","Place de l'église",,43.701368,5.084911,11,422,"Donnée importée de MesseInfo."
813,"FR","Lamanon",,"13113"," Place de l'Église",", Place de l'Église, 13113 Lamanon, France",43.7011449,5.0842834,,422,"Donnée de MesseInfo traitée par Google Maps."
814,"fr","LAMBESC",,"13410","40 rue grande",,43.654474,5.2610687,15,423,"Donnée importée de MesseInfo."
815,"FR","Lambesc",,"13410","40 Rue Grande","40, Rue Grande, 13410 Lambesc, France",43.654474,5.2610687,,423,"Donnée de MesseInfo traitée par Google Maps."
816,"fr","SAUSSET LES PINS",,"13960","Maison Ste Famille - 20 avenue Fouque",,43.3312401,5.1097125,15,424,"Donnée importée de MesseInfo."
817,"fr","COUDOUX",,"13111","2 rue des 4 termes",,43.5589299,5.2499212,15,425,"Donnée importée de MesseInfo."
818,"FR","Coudoux",,"13111","2 Route des Quatre Termes","2, Route des Quatre Termes, 13111 Coudoux, France",43.5599548,5.2499054,,425,"Donnée de MesseInfo traitée par Google Maps."
819,"fr","GRAVESON",,"13690","17, Rue de la Poste",,43.8519629,4.7733588,15,426,"Donnée importée de MesseInfo."
820,"FR","Graveson",,"13690","17 Rue de la Poste","17, Rue de la Poste, 13690 Graveson, France",43.8519629,4.7733588,,426,"Donnée de MesseInfo traitée par Google Maps."
821,"fr","TARASCON",,"13150","Place Concorde",,43.806044,4.65752,9,427,"Donnée importée de MesseInfo."
822,"FR","Tarascon",,"13150"," Place de la Concorde",", Place de la Concorde, 13150 Tarascon, France",43.805374,4.6557054,,427,"Donnée de MesseInfo traitée par Google Maps."
823,"fr","SALON DE PROVENCE",,"13300","Square Jean XXIII",,43.6431274,5.0972093,15,428,"Donnée importée de MesseInfo."
